2025-10-31 15:40:36.233 [info] Starting Python Locator /home/davineves/.vscode-server/extensions/ms-python.python-2025.16.0-linux-x64/python-env-tools/bin/pet server
2025-10-31 15:40:36.264 [info] Discovered env: /bin/python
2025-10-31 15:40:36.273 [info] Discovered env: /home/linuxbrew/.linuxbrew/bin/python3.13
2025-10-31 15:40:36.276 [info] Discovered env: /home/linuxbrew/.linuxbrew/bin/python3
2025-10-31 15:40:36.299 [info] Discovered env: /usr/bin/python
2025-10-31 15:40:36.316 [info] Locator Conda took 141.356107ms
2025-10-31 15:40:36.316 [info] Locator Homebrew took 131.632678ms
2025-10-31 15:40:36.316 [info] Locator LinuxGlobal took 151.888997ms
2025-10-31 15:40:36.317 [info] Locator PipEnv took 961.905µs
2025-10-31 15:40:36.317 [info] Locator Pixi took 1.089005ms
2025-10-31 15:40:36.317 [info] Locator Poetry took 6.297965ms
2025-10-31 15:40:36.317 [info] Locator PyEnv took 4.276086ms
2025-10-31 15:40:36.317 [info] Locator Venv took 3.369887ms
2025-10-31 15:40:36.317 [info] Locator VirtualEnv took 1.330729ms
2025-10-31 15:40:36.317 [info] Locator VirtualEnvWrapper took 492.624µs
2025-10-31 15:40:36.317 [info] Locator GlobalVirtualEnvs took 2.279298ms
2025-10-31 15:40:36.317 [info] Locator Locators took 162.481968ms
2025-10-31 15:40:36.317 [info] Locator Path took 183.927388ms
2025-10-31 15:40:36.317 [info] Locator Workspaces took 29.254µs
2025-10-31 15:40:36.317 [info] Refresh completed in 186ms
2025-10-31 15:40:36.327 [info] Resolved /home/linuxbrew/.linuxbrew/bin/python3.13
2025-10-31 15:40:36.328 [info] Resolved /home/linuxbrew/.linuxbrew/bin/python3
2025-10-31 15:40:41.600 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 15:50:13.933 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:01:33.129 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:02:03.331 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:03:13.439 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:04:53.409 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:05:28.006 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:08:55.238 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:09:53.165 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:10:40.645 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:11:26.145 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:12:00.777 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:12:43.448 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:13:52.365 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:15:09.678 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:15:41.471 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:16:17.791 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:20:10.640 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:23:05.954 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:25:20.851 [info] Resolved Python Environment /home/davineves/venv/bin/python
2025-10-31 16:25:20.861 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:26:20.395 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:29:21.880 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:31:21.934 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:33:41.661 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:36:45.772 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:41:28.934 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:42:18.953 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 16:42:58.396 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 17:15:10.198 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 17:16:06.989 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 17:28:50.336 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 17:29:32.617 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 17:30:13.408 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 17:30:43.876 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 17:31:14.575 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 17:31:52.182 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 17:32:29.529 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 17:33:00.855 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 17:33:59.178 [info] Resolved Python Environment /home/davineves/.venv/bin/python
2025-10-31 17:40:21.111 [info] Resolved Python Environment /home/davineves/.venv/bin/python
